i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
8685532,1,71023.4062,8614508,8614508.5938,-0.593800000846386,-0.00000689302232832820%,,,,,,,,,
71023.4062,1,8685532,-8614508,-8614508.5938,0.593800000846386,-0.00000689302232832820%,,,,,,,,,
-8469712,0,45370.0547,-8424342,-8424341.9453,-0.0547000002115965,0.00000064930887856605%,,,,,,,,,
45370.0547,0,-8469712,-8424342,-8424341.9453,-0.0547000002115965,0.00000064930887856605%,,,,,,,,,
-8469712,1,45370.0547,-8515082,-8515082.0547,0.0547000002115965,-0.00000064238958427188%,,,,,,,,,
45370.0547,1,-8469712,8515082,8515082.0547,-0.0547000002115965,-0.00000064238958427188%,,,,,,,,,
7220424.5,0,13104.5439,7233529,7233529.0439,-0.0438999999314547,-0.00000060689602080848%,,,,,,,,,
13104.5439,0,7220424.5,7233529,7233529.0439,-0.0438999999314547,-0.00000060689602080848%,,,,,,,,,
7220424.5,1,13104.5439,7207320,7207319.9561,0.0438999999314547,0.00000060910297029757%,,,,,,,,,
13104.5439,1,7220424.5,-7207320,-7207319.9561,-0.0438999999314547,0.00000060910297029757%,,,,,,,,,
850993.375,0,75955.3047,926948.6875,926948.6797,0.00780000002123416,0.00000084147053575378%,,,,,,,,,
75955.3047,0,850993.375,926948.6875,926948.6797,0.00780000002123416,0.00000084147053575378%,,,,,,,,,
850993.375,1,75955.3047,775038.0625,775038.0703,-0.00780000002123416,-0.00000100640217818138%,,,,,,,,,
75955.3047,1,850993.375,-775038.0625,-775038.0703,0.00780000002123416,-0.00000100640217818138%,,,,,,,,,
-16694664,0,23111.7832,-16671552,-16671552.2168,0.21680000051856,-0.00000130041880743468%,,,,,,,,,
23111.7832,0,-16694664,-16671552,-16671552.2168,0.21680000051856,-0.00000130041880743468%,,,,,,,,,
-16694664,1,23111.7832,-16717776,-16717775.7832,-0.21680000051856,0.00000129682323372483%,,,,,,,,,
23111.7832,1,-16694664,16717776,16717775.7832,0.21680000051856,0.00000129682323372483%,,,,,,,,,
-14481430,0,18912.7129,-14462518,-14462517.2871,-0.712899999693036,0.00000492929401943682%,,,,,,,,,
18912.7129,0,-14481430,-14462518,-14462517.2871,-0.712899999693036,0.00000492929401943682%,,,,,,,,,
-14481430,1,18912.7129,-14500342,-14500342.7129,0.712899999693036,-0.00000491643552023647%,,,,,,,,,
18912.7129,1,-14481430,14500342,14500342.7129,-0.712899999693036,-0.00000491643552023647%,,,,,,,,,
-14928446,0,50409.8828,-14878036,-14878036.1172,0.117200000211596,-0.00000078773837681511%,,,,,,,,,
50409.8828,0,-14928446,-14878036,-14878036.1172,0.117200000211596,-0.00000078773837681511%,,,,,,,,,
-14928446,1,50409.8828,-14978856,-14978855.8828,-0.117200000211596,0.00000078243626301376%,,,,,,,,,
50409.8828,1,-14928446,14978856,14978855.8828,0.117200000211596,0.00000078243626301376%,,,,,,,,,
-1407836.875,0,87987.1172,-1319849.75,-1319849.7578,0.00780000002123416,-0.00000059097635735719%,,,,,,,,,
87987.1172,0,-1407836.875,-1319849.75,-1319849.7578,0.00780000002123416,-0.00000059097635735719%,,,,,,,,,
-1407836.875,1,87987.1172,-1495824,-1495823.9922,-0.00780000002123416,0.00000052145172573160%,,,,,,,,,
87987.1172,1,-1407836.875,1495824,1495823.9922,0.00780000002123416,0.00000052145172573160%,,,,,,,,,
-10238592,0,17.0677,-10238575,-10238574.9323,-0.0677000004798174,0.00000066122483770902%,,,,,,,,,
17.0677,0,-10238592,-10238575,-10238574.9323,-0.0677000004798174,0.00000066122483770902%,,,,,,,,,
-10238592,1,17.0677,-10238609,-10238609.0677,0.0677000004798174,-0.00000066122263319333%,,,,,,,,,
17.0677,1,-10238592,10238609,10238609.0677,-0.0677000004798174,-0.00000066122263319333%,,,,,,,,,
-9769375,0,84810.7734,-9684564,-9684564.2266,0.226600000634789,-0.00000233980585324016%,,,,,,,,,
84810.7734,0,-9769375,-9684564,-9684564.2266,0.226600000634789,-0.00000233980585324016%,,,,,,,,,
-9769375,1,84810.7734,-9854186,-9854185.7734,-0.226600000634789,0.00000229953043148897%,,,,,,,,,
84810.7734,1,-9769375,9854186,9854185.7734,0.226600000634789,0.00000229953043148897%,,,,,,,,,
-995051.9375,0,3181.2246,-991870.75,-991870.7129,-0.037099999957718,0.00000374040683681910%,,,,,,,,,
3181.2246,0,-995051.9375,-991870.75,-991870.7129,-0.037099999957718,0.00000374040683681910%,,,,,,,,,
-995051.9375,1,3181.2246,-998233.125,-998233.1621,0.037099999957718,-0.00000371656656643925%,,,,,,,,,
3181.2246,1,-995051.9375,998233.125,998233.1621,-0.037099999957718,-0.00000371656656643925%,,,,,,,,,
12353981,0,24631.8457,12378613,12378612.8457,0.15430000051856,0.00000124650477757013%,,,,,,,,,
24631.8457,0,12353981,12378613,12378612.8457,0.15430000051856,0.00000124650477757013%,,,,,,,,,
12353981,1,24631.8457,12329349,12329349.1543,-0.15430000051856,-0.00000125148536704994%,,,,,,,,,
24631.8457,1,12353981,-12329349,-12329349.1543,0.15430000051856,-0.00000125148536704994%,,,,,,,,,
5926814.5,0,72779.4844,5999594,5999593.9844,0.015599999576807,0.00000026001758814629%,,,,,,,,,
72779.4844,0,5926814.5,5999594,5999593.9844,0.015599999576807,0.00000026001758814629%,,,,,,,,,
5926814.5,1,72779.4844,5854035,5854035.0156,-0.015599999576807,-0.00000026648285388174%,,,,,,,,,
72779.4844,1,5926814.5,-5854035,-5854035.0156,0.015599999576807,-0.00000026648285388174%,,,,,,,,,
7839526.5,0,4256.5146,7843783,7843783.0146,-0.0146000003442168,-0.00000018613467910881%,,,,,,,,,
4256.5146,0,7839526.5,7843783,7843783.0146,-0.0146000003442168,-0.00000018613467910881%,,,,,,,,,
7839526.5,1,4256.5146,7835270,7835269.9854,0.0146000003442168,0.00000018633691463628%,,,,,,,,,
4256.5146,1,7839526.5,-7835270,-7835269.9854,-0.0146000003442168,0.00000018633691463628%,,,,,,,,,
-14466748,0,93243.5859,-14373505,-14373504.4141,-0.585899999365211,0.00000407625017870005%,,,,,,,,,
93243.5859,0,-14466748,-14373505,-14373504.4141,-0.585899999365211,0.00000407625017870005%,,,,,,,,,
-14466748,1,93243.5859,-14559991,-14559991.5859,0.585899999365211,-0.00000402404078263754%,,,,,,,,,
93243.5859,1,-14466748,14559991,14559991.5859,-0.585899999365211,-0.00000402404078263754%,,,,,,,,,
