i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
-9610767,1,73837.4766,-9684605,-9684604.4766,-0.523399999365211,0.00000540445405519506%,,,,,,,,,
73837.4766,1,-9610767,9684605,9684604.4766,0.523399999365211,0.00000540445405519506%,,,,,,,,,
-3647545.5,0,13527.4238,-3634018.25,-3634018.0762,-0.173799999989569,0.00000478258490588763%,,,,,,,,,
13527.4238,0,-3647545.5,-3634018.25,-3634018.0762,-0.173799999989569,0.00000478258490588763%,,,,,,,,,
-3647545.5,1,13527.4238,-3661072.75,-3661072.9238,0.173799999989569,-0.00000474724223218078%,,,,,,,,,
13527.4238,1,-3647545.5,3661072.75,3661072.9238,-0.173799999989569,-0.00000474724223218078%,,,,,,,,,
515613.125,0,4687.7886,520300.9062,520300.9136,-0.00739999994402751,-0.00000142225388243630%,,,,,,,,,
4687.7886,0,515613.125,520300.9062,520300.9136,-0.00739999994402751,-0.00000142225388243630%,,,,,,,,,
515613.125,1,4687.7886,510925.3438,510925.3364,0.00739999994402751,0.00000144835251196744%,,,,,,,,,
4687.7886,1,515613.125,-510925.3438,-510925.3364,-0.00739999994402751,0.00000144835251196744%,,,,,,,,,
7902702.5,0,90299.3594,7993001.5,7993001.8594,-0.359400000423193,-0.00000449643333937835%,,,,,,,,,
90299.3594,0,7902702.5,7993001.5,7993001.8594,-0.359400000423193,-0.00000449643333937835%,,,,,,,,,
7902702.5,1,90299.3594,7812403.5,7812403.1406,0.359400000423193,0.00000460037704090615%,,,,,,,,,
90299.3594,1,7902702.5,-7812403.5,-7812403.1406,-0.359400000423193,0.00000460037704090615%,,,,,,,,,
2013836,0,86892.0938,2100728.25,2100728.0938,0.156200000084937,0.00000743551726403520%,,,,,,,,,
86892.0938,0,2013836,2100728.25,2100728.0938,0.156200000084937,0.00000743551726403520%,,,,,,,,,
2013836,1,86892.0938,1926943.875,1926943.9062,-0.0312000000849366,-0.00000161914417874592%,,,,,,,,,
86892.0938,1,2013836,-1926943.875,-1926943.9062,0.0312000000849366,-0.00000161914417874592%,,,,,,,,,
7351139,0,63934.2422,7415073.5,7415073.2422,0.257799999788403,0.00000347670200101646%,,,,,,,,,
63934.2422,0,7351139,7415073.5,7415073.2422,0.257799999788403,0.00000347670200101646%,,,,,,,,,
7351139,1,63934.2422,7287204.5,7287204.7578,-0.257799999788403,-0.00000353770764451846%,,,,,,,,,
63934.2422,1,7351139,-7287204.5,-7287204.7578,0.257799999788403,-0.00000353770764451846%,,,,,,,,,
-4616884.5,0,3956.9717,-4612927.5,-4612927.5283,0.0283000003546476,-0.00000061349327907341%,,,,,,,,,
3956.9717,0,-4616884.5,-4612927.5,-4612927.5283,0.0283000003546476,-0.00000061349327907341%,,,,,,,,,
-4616884.5,1,3956.9717,-4620841.5,-4620841.4717,-0.0283000003546476,0.00000061244257194212%,,,,,,,,,
3956.9717,1,-4616884.5,4620841.5,4620841.4717,0.0283000003546476,0.00000061244257194212%,,,,,,,,,
11826933,0,62684.0781,11889617,11889617.0781,-0.078099999576807,-0.00000065687565094643%,,,,,,,,,
62684.0781,0,11826933,11889617,11889617.0781,-0.078099999576807,-0.00000065687565094643%,,,,,,,,,
11826933,1,62684.0781,11764249,11764248.9219,0.078099999576807,0.00000066387578242601%,,,,,,,,,
62684.0781,1,11826933,-11764249,-11764248.9219,-0.078099999576807,0.00000066387578242601%,,,,,,,,,
-9883356,0,28993.0137,-9854363,-9854362.9863,-0.0136999990791082,0.00000013902470507890%,,,,,,,,,
28993.0137,0,-9883356,-9854363,-9854362.9863,-0.0136999990791082,0.00000013902470507890%,,,,,,,,,
-9883356,1,28993.0137,-9912349,-9912349.0137,0.0136999990791082,-0.00000013821142758566%,,,,,,,,,
28993.0137,1,-9883356,9912349,9912349.0137,-0.0136999990791082,-0.00000013821142758566%,,,,,,,,,
12168146,0,39926.957,12208073,12208072.957,0.0429999995976687,0.00000035222593892686%,,,,,,,,,
39926.957,0,12168146,12208073,12208072.957,0.0429999995976687,0.00000035222593892686%,,,,,,,,,
12168146,1,39926.957,12128219,12128219.043,-0.0429999995976687,-0.00000035454504445553%,,,,,,,,,
39926.957,1,12168146,-12128219,-12128219.043,0.0429999995976687,-0.00000035454504445553%,,,,,,,,,
-18873460,0,40000.2305,-18833460,-18833459.7695,-0.230500001460314,0.00000122388559659972%,,,,,,,,,
40000.2305,0,-18873460,-18833460,-18833459.7695,-0.230500001460314,0.00000122388559659972%,,,,,,,,,
-18873460,1,40000.2305,-18913460,-18913460.2305,0.230500001460314,-0.00000121870878544270%,,,,,,,,,
40000.2305,1,-18873460,18913460,18913460.2305,-0.230500001460314,-0.00000121870878544270%,,,,,,,,,
-13123424,0,-1506.6946,-13124930,-13124930.6946,0.694599999114871,-0.00000529221841453724%,,,,,,,,,
-1506.6946,0,-13123424,-13124930,-13124930.6946,0.694599999114871,-0.00000529221841453724%,,,,,,,,,
-13123424,1,-1506.6946,-13121918,-13121917.3054,-0.694599999114871,0.00000529343374865673%,,,,,,,,,
-1506.6946,1,-13123424,13121918,13121917.3054,0.694599999114871,0.00000529343374865673%,,,,,,,,,
7595386,0,43489.6719,7638876,7638875.6719,0.328099999576807,0.00000429513469873243%,,,,,,,,,
43489.6719,0,7595386,7638876,7638875.6719,0.328099999576807,0.00000429513469873243%,,,,,,,,,
7595386,1,43489.6719,7551896,7551896.3281,-0.328099999576807,-0.00000434460412752190%,,,,,,,,,
43489.6719,1,7595386,-7551896,-7551896.3281,0.328099999576807,-0.00000434460412752190%,,,,,,,,,
-15316384,0,55666.3438,-15260717,-15260717.6562,0.656199999153614,-0.00000429992883648574%,,,,,,,,,
55666.3438,0,-15316384,-15260717,-15260717.6562,0.656199999153614,-0.00000429992883648574%,,,,,,,,,
-15316384,1,55666.3438,-15372051,-15372050.3438,-0.656199999153614,0.00000426878643042097%,,,,,,,,,
55666.3438,1,-15316384,15372051,15372050.3438,0.656199999153614,0.00000426878643042097%,,,,,,,,,
-19554474,0,50575.3398,-19503900,-19503898.6602,-1.33980000019073,0.00000686939582456278%,,,,,,,,,
50575.3398,0,-19554474,-19503900,-19503898.6602,-1.33980000019073,0.00000686939582456278%,,,,,,,,,
-19554474,1,50575.3398,-19605048,-19605049.3398,1.33980000019073,-0.00000683395372778186%,,,,,,,,,
50575.3398,1,-19554474,19605048,19605049.3398,-1.33980000019073,-0.00000683395372778186%,,,,,,,,,
-16421506,0,28589.5273,-16392916,-16392916.4727,0.472699999809265,-0.00000288356254725312%,,,,,,,,,
28589.5273,0,-16421506,-16392916,-16392916.4727,0.472699999809265,-0.00000288356254725312%,,,,,,,,,
-16421506,1,28589.5273,-16450095,-16450095.5273,0.527300000190735,-0.00000320545251129786%,,,,,,,,,
28589.5273,1,-16421506,16450095,16450095.5273,-0.527300000190735,-0.00000320545251129786%,,,,,,,,,
-1170274.25,0,36256.043,-1134018.125,-1134018.207,0.0819999999366701,-0.00000723092446227983%,,,,,,,,,
36256.043,0,-1170274.25,-1134018.125,-1134018.207,0.0819999999366701,-0.00000723092446227983%,,,,,,,,,
-1170274.25,1,36256.043,-1206530.375,-1206530.293,-0.0819999999366701,0.00000679634820712040%,,,,,,,,,
36256.043,1,-1170274.25,1206530.375,1206530.293,0.0819999999366701,0.00000679634820712040%,,,,,,,,,
10757274,0,50769.7188,10808043,10808043.7188,-0.718800000846386,-0.00000665060226945671%,,,,,,,,,
50769.7188,0,10757274,10808043,10808043.7188,-0.718800000846386,-0.00000665060226945671%,,,,,,,,,
10757274,1,50769.7188,10706505,10706504.2812,0.718800000846386,0.00000671367592976689%,,,,,,,,,
50769.7188,1,10757274,-10706505,-10706504.2812,-0.718800000846386,0.00000671367592976689%,,,,,,,,,
5655463,0,43863.5,5699326.5,5699326.5,0,0.00000000000000000000%,,,,,,,,,
43863.5,0,5655463,5699326.5,5699326.5,0,0.00000000000000000000%,,,,,,,,,
5655463,1,43863.5,5611599.5,5611599.5,0,0.00000000000000000000%,,,,,,,,,
43863.5,1,5655463,-5611599.5,-5611599.5,0,0.00000000000000000000%,,,,,,,,,
-1129875,0,-4815.4561,-1134690.375,-1134690.4561,0.0811000000685453,-0.00000714732371569344%,,,,,,,,,
-4815.4561,0,-1129875,-1134690.375,-1134690.4561,0.0811000000685453,-0.00000714732371569344%,,,,,,,,,
-1129875,1,-4815.4561,-1125059.625,-1125059.5439,-0.0811000000685453,0.00000720850736374482%,,,,,,,,,
-4815.4561,1,-1129875,1125059.625,1125059.5439,0.0811000000685453,0.00000720850736374482%,,,,,,,,,
-4486069.5,0,92351.5625,-4393718,-4393717.9375,-0.0625,0.00000142248548698513%,,,,,,,,,
92351.5625,0,-4486069.5,-4393718,-4393717.9375,-0.0625,0.00000142248548698513%,,,,,,,,,
-4486069.5,1,92351.5625,-4578421,-4578421.0625,0.0625,-0.00000136509943377450%,,,,,,,,,
92351.5625,1,-4486069.5,4578421,4578421.0625,-0.0625,-0.00000136509943377450%,,,,,,,,,
-2182559.75,0,13830.5605,-2168729.25,-2168729.1895,-0.0605000001378357,0.00000278965213502678%,,,,,,,,,
13830.5605,0,-2182559.75,-2168729.25,-2168729.1895,-0.0605000001378357,0.00000278965213502678%,,,,,,,,,
-2182559.75,1,13830.5605,-2196390.25,-2196390.3105,0.0605000001378357,-0.00000275451953364624%,,,,,,,,,
13830.5605,1,-2182559.75,2196390.25,2196390.3105,-0.0605000001378357,-0.00000275451953364624%,,,,,,,,,
12746644,0,47930.5781,12794574,12794574.5781,-0.578099999576807,-0.00000451832138730364%,,,,,,,,,
47930.5781,0,12746644,12794574,12794574.5781,-0.578099999576807,-0.00000451832138730364%,,,,,,,,,
12746644,1,47930.5781,12698714,12698713.4219,0.578099999576807,0.00000455242968614305%,,,,,,,,,
47930.5781,1,12746644,-12698714,-12698713.4219,-0.578099999576807,0.00000455242968614305%,,,,,,,,,
-15684328,0,45765.1367,-15638563,-15638562.8633,-0.136700000613928,0.00000087412124636293%,,,,,,,,,
45765.1367,0,-15684328,-15638563,-15638562.8633,-0.136700000613928,0.00000087412124636293%,,,,,,,,,
-15684328,1,45765.1367,-15730093,-15730093.1367,0.136700000613928,-0.00000086903490924025%,,,,,,,,,
45765.1367,1,-15684328,15730093,15730093.1367,-0.136700000613928,-0.00000086903490924025%,,,,,,,,,
-10136898,0,54833.9727,-10082064,-10082064.0273,0.0273000001907349,-0.00000027077788949577%,,,,,,,,,
54833.9727,0,-10136898,-10082064,-10082064.0273,0.0273000001907349,-0.00000027077788949577%,,,,,,,,,
-10136898,1,54833.9727,-10191732,-10191731.9727,-0.0273000001907349,0.00000026786418897065%,,,,,,,,,
54833.9727,1,-10136898,10191732,10191731.9727,0.0273000001907349,0.00000026786418897065%,,,,,,,,,
-8677529,0,35663.7031,-8641866,-8641865.2969,-0.703099999576807,0.00000813597499406780%,,,,,,,,,
35663.7031,0,-8677529,-8641866,-8641865.2969,-0.703099999576807,0.00000813597499406780%,,,,,,,,,
-8677529,1,35663.7031,-8713192,-8713192.7031,0.703099999576807,-0.00000806937277224061%,,,,,,,,,
35663.7031,1,-8677529,8713192,8713192.7031,-0.703099999576807,-0.00000806937277224061%,,,,,,,,,
-16837764,0,75167.9297,-16762596,-16762596.0703,0.0702999997884035,-0.00000041938611115829%,,,,,,,,,
75167.9297,0,-16837764,-16762596,-16762596.0703,0.0702999997884035,-0.00000041938611115829%,,,,,,,,,
-16837764,1,75167.9297,-16912932,-16912931.9297,-0.0703000016510487,0.00000041565827819361%,,,,,,,,,
75167.9297,1,-16837764,16912932,16912931.9297,0.0703000016510487,0.00000041565827819361%,,,,,,,,,
-14272018,0,86042.9922,-14185975,-14185975.0078,0.00779999978840351,-0.00000005498388220841%,,,,,,,,,
86042.9922,0,-14272018,-14185975,-14185975.0078,0.00779999978840351,-0.00000005498388220841%,,,,,,,,,
-14272018,1,86042.9922,-14358061,-14358060.9922,-0.00779999978840351,0.00000005432488267490%,,,,,,,,,
86042.9922,1,-14272018,14358061,14358060.9922,0.00779999978840351,0.00000005432488267490%,,,,,,,,,
-2767352,0,25502.502,-2741849.5,-2741849.498,-0.00199999986216426,0.00000007294345891790%,,,,,,,,,
25502.502,0,-2767352,-2741849.5,-2741849.498,-0.00199999986216426,0.00000007294345891790%,,,,,,,,,
-2767352,1,25502.502,-2792854.5,-2792854.502,0.00199999986216426,-0.00000007161131597554%,,,,,,,,,
25502.502,1,-2767352,2792854.5,2792854.502,-0.00199999986216426,-0.00000007161131597554%,,,,,,,,,
-2856850.25,0,89525.75,-2767324.5,-2767324.5,0,0.00000000000000000000%,,,,,,,,,
89525.75,0,-2856850.25,-2767324.5,-2767324.5,0,0.00000000000000000000%,,,,,,,,,
-2856850.25,1,89525.75,-2946376,-2946376,0,0.00000000000000000000%,,,,,,,,,
89525.75,1,-2856850.25,2946376,2946376,0,0.00000000000000000000%,,,,,,,,,
18370898,0,36017.8125,18406916,18406915.8125,0.1875,0.00000101863887415984%,,,,,,,,,
36017.8125,0,18370898,18406916,18406915.8125,0.1875,0.00000101863887415984%,,,,,,,,,
18370898,1,36017.8125,18334880,18334880.1875,-0.1875,-0.00000102264098855596%,,,,,,,,,
36017.8125,1,18370898,-18334880,-18334880.1875,0.1875,-0.00000102264098855596%,,,,,,,,,
-2631007.75,0,75685.4219,-2555322.5,-2555322.3281,-0.171899999957532,0.00000672713567549607%,,,,,,,,,
75685.4219,0,-2631007.75,-2555322.5,-2555322.3281,-0.171899999957532,0.00000672713567549607%,,,,,,,,,
-2631007.75,1,75685.4219,-2706693,-2706693.1719,0.171899999957532,-0.00000635092302822282%,,,,,,,,,
75685.4219,1,-2631007.75,2706693,2706693.1719,-0.171899999957532,-0.00000635092302822282%,,,,,,,,,
-11337790,0,72774.6641,-11265016,-11265015.3359,-0.664100000634789,0.00000589524275673551%,,,,,,,,,
72774.6641,0,-11337790,-11265016,-11265015.3359,-0.664100000634789,0.00000589524275673551%,,,,,,,,,
-11337790,1,72774.6641,-11410564,-11410564.6641,0.664100000634789,-0.00000582004502129667%,,,,,,,,,
72774.6641,1,-11337790,11410564,11410564.6641,-0.664100000634789,-0.00000582004502129667%,,,,,,,,,
-17177466,0,11970.127,-17165496,-17165495.873,-0.127000000327826,0.00000073985628651478%,,,,,,,,,
11970.127,0,-17177466,-17165496,-17165495.873,-0.127000000327826,0.00000073985628651478%,,,,,,,,,
-17177466,1,11970.127,-17189436,-17189436.127,0.127000000327826,-0.00000073882586601164%,,,,,,,,,
11970.127,1,-17177466,17189436,17189436.127,-0.127000000327826,-0.00000073882586601164%,,,,,,,,,
17736960,0,21534.5117,17758494,17758494.5117,-0.511700000613928,-0.00000288143795228137%,,,,,,,,,
21534.5117,0,17736960,17758494,17758494.5117,-0.511700000613928,-0.00000288143795228137%,,,,,,,,,
17736960,1,21534.5117,17715426,17715425.4883,0.511700000613928,0.00000288844318727696%,,,,,,,,,
21534.5117,1,17736960,-17715426,-17715425.4883,-0.511700000613928,0.00000288844318727696%,,,,,,,,,
-5486848,0,48950.1406,-5437898,-5437897.8594,-0.140599999576807,0.00000258555793455672%,,,,,,,,,
48950.1406,0,-5486848,-5437898,-5437897.8594,-0.140599999576807,0.00000258555793455672%,,,,,,,,,
-5486848,1,48950.1406,-5535798,-5535798.1406,0.140599999576807,-0.00000253983248676708%,,,,,,,,,
48950.1406,1,-5486848,5535798,5535798.1406,-0.140599999576807,-0.00000253983248676708%,,,,,,,,,
-14628686,0,86578.2188,-14542108,-14542107.7812,-0.218800000846386,0.00000150459619842214%,,,,,,,,,
86578.2188,0,-14628686,-14542108,-14542107.7812,-0.218800000846386,0.00000150459619842214%,,,,,,,,,
-14628686,1,86578.2188,-14715264,-14715264.2188,0.218800000846386,-0.00000148689141827879%,,,,,,,,,
86578.2188,1,-14628686,14715264,14715264.2188,-0.218800000846386,-0.00000148689141827879%,,,,,,,,,
-10980941,0,20421.7148,-10960520,-10960519.2852,-0.714800000190735,0.00000652158881884301%,,,,,,,,,
20421.7148,0,-10980941,-10960520,-10960519.2852,-0.714800000190735,0.00000652158881884301%,,,,,,,,,
-10980941,1,20421.7148,-11001362,-11001362.7148,0.714800000190735,-0.00000649737690430953%,,,,,,,,,
20421.7148,1,-10980941,11001362,11001362.7148,-0.714800000190735,-0.00000649737690430953%,,,,,,,,,
6489448.5,0,10308.1973,6499757,6499756.6973,0.302699999883771,0.00000465709739580733%,,,,,,,,,
10308.1973,0,6489448.5,6499757,6499756.6973,0.302699999883771,0.00000465709739580733%,,,,,,,,,
6489448.5,1,10308.1973,6479140,6479140.3027,-0.302699999883771,-0.00000467191611451336%,,,,,,,,,
10308.1973,1,6489448.5,-6479140,-6479140.3027,0.302699999883771,-0.00000467191611451336%,,,,,,,,,
-9289584,0,53187.2656,-9236397,-9236396.7344,-0.265599999576807,0.00000287558024210467%,,,,,,,,,
53187.2656,0,-9289584,-9236397,-9236396.7344,-0.265599999576807,0.00000287558024210467%,,,,,,,,,
-9289584,1,53187.2656,-9342771,-9342771.2656,0.265599999576807,-0.00000284283958181384%,,,,,,,,,
53187.2656,1,-9289584,9342771,9342771.2656,-0.265599999576807,-0.00000284283958181384%,,,,,,,,,
7827975.5,0,60972.918,7888948.5,7888948.418,0.0820000004023314,0.00000103942878134726%,,,,,,,,,
60972.918,0,7827975.5,7888948.5,7888948.418,0.0820000004023314,0.00000103942878134726%,,,,,,,,,
7827975.5,1,60972.918,7767002.5,7767002.582,-0.0820000004023314,-0.00000105574833452954%,,,,,,,,,
60972.918,1,7827975.5,-7767002.5,-7767002.582,0.0820000004023314,-0.00000105574833452954%,,,,,,,,,
9920662,0,30755.6445,9951417,9951417.6445,-0.644500000402331,-0.00000647646419260212%,,,,,,,,,
30755.6445,0,9920662,9951417,9951417.6445,-0.644500000402331,-0.00000647646419260212%,,,,,,,,,
9920662,1,30755.6445,9889907,9889906.3555,0.644500000402331,0.00000651674522725800%,,,,,,,,,
30755.6445,1,9920662,-9889907,-9889906.3555,-0.644500000402331,0.00000651674522725800%,,,,,,,,,
7070086.5,0,25461.5059,7095548,7095548.0059,-0.0059000002220273,-0.00000008315073363074%,,,,,,,,,
25461.5059,0,7070086.5,7095548,7095548.0059,-0.0059000002220273,-0.00000008315073363074%,,,,,,,,,
7070086.5,1,25461.5059,7044625,7044624.9941,0.0059000002220273,0.00000008375179980437%,,,,,,,,,
25461.5059,1,7070086.5,-7044625,-7044624.9941,-0.0059000002220273,0.00000008375179980437%,,,,,,,,,
-870062.375,0,-4100.8618,-874163.25,-874163.2368,-0.0132000000448897,0.00000151001546269668%,,,,,,,,,
-4100.8618,0,-870062.375,-874163.25,-874163.2368,-0.0132000000448897,0.00000151001546269668%,,,,,,,,,
-870062.375,1,-4100.8618,-865961.5,-865961.5132,0.0132000000448897,-0.00000152431717156939%,,,,,,,,,
-4100.8618,1,-870062.375,865961.5,865961.5132,-0.0132000000448897,-0.00000152431717156939%,,,,,,,,,
-6316550.5,0,95363.4688,-6221187,-6221187.0312,0.0312000000849366,-0.00000050151200933945%,,,,,,,,,
95363.4688,0,-6316550.5,-6221187,-6221187.0312,0.0312000000849366,-0.00000050151200933945%,,,,,,,,,
-6316550.5,1,95363.4688,-6411914,-6411913.9688,-0.0312000000849366,0.00000048659417822438%,,,,,,,,,
95363.4688,1,-6316550.5,6411914,6411913.9688,0.0312000000849366,0.00000048659417822438%,,,,,,,,,
14632462,0,80660.3672,14713123,14713122.3672,0.632799999788404,0.00000430092256419417%,,,,,,,,,
80660.3672,0,14632462,14713123,14713122.3672,0.632799999788404,0.00000430092256419417%,,,,,,,,,
14632462,1,80660.3672,14551801,14551801.6328,-0.632799999788404,-0.00000434860243258169%,,,,,,,,,
80660.3672,1,14632462,-14551801,-14551801.6328,0.632799999788404,-0.00000434860243258169%,,,,,,,,,
-14420060,0,87723.9375,-14332336,-14332336.0625,0.0625,-0.00000043607685256229%,,,,,,,,,
87723.9375,0,-14420060,-14332336,-14332336.0625,0.0625,-0.00000043607685256229%,,,,,,,,,
-14420060,1,87723.9375,-14507784,-14507783.9375,-0.0625,0.00000043080321756412%,,,,,,,,,
87723.9375,1,-14420060,14507784,14507783.9375,0.0625,0.00000043080321756412%,,,,,,,,,
-11988565,0,28633.2559,-11959932,-11959931.7441,-0.255899999290705,0.00000213964431207514%,,,,,,,,,
28633.2559,0,-11988565,-11959932,-11959931.7441,-0.255899999290705,0.00000213964431207514%,,,,,,,,,
-11988565,1,28633.2559,-12017198,-12017198.2559,0.255899999290705,-0.00000212944809465107%,,,,,,,,,
28633.2559,1,-11988565,12017198,12017198.2559,-0.255899999290705,-0.00000212944809465107%,,,,,,,,,
10528111,0,96314.4531,10624426,10624425.4531,0.546900000423193,0.00000514757247662384%,,,,,,,,,
96314.4531,0,10528111,10624426,10624425.4531,0.546900000423193,0.00000514757247662384%,,,,,,,,,
10528111,1,96314.4531,10431796,10431796.5469,-0.546900000423193,-0.00000524262525600841%,,,,,,,,,
96314.4531,1,10528111,-10431796,-10431796.5469,0.546900000423193,-0.00000524262525600841%,,,,,,,,,
9265404,0,87112.5625,9352516,9352516.5625,-0.5625,-0.00000601442399209865%,,,,,,,,,
87112.5625,0,9265404,9352516,9352516.5625,-0.5625,-0.00000601442399209865%,,,,,,,,,
9265404,1,87112.5625,9178292,9178291.4375,0.5625,0.00000612859162111347%,,,,,,,,,
87112.5625,1,9265404,-9178292,-9178291.4375,-0.5625,0.00000612859162111347%,,,,,,,,,
-2496556,0,90259.1641,-2406297,-2406296.8359,-0.164100000169128,0.00000681960752808586%,,,,,,,,,
90259.1641,0,-2496556,-2406297,-2406296.8359,-0.164100000169128,0.00000681960752808586%,,,,,,,,,
-2496556,1,90259.1641,-2586815,-2586815.1641,0.164100000169128,-0.00000634370798681403%,,,,,,,,,
90259.1641,1,-2496556,2586815,2586815.1641,-0.164100000169128,-0.00000634370798681403%,,,,,,,,,
-5558516.5,0,44572.8867,-5513943.5,-5513943.6133,0.113300000317395,-0.00000205479069543090%,,,,,,,,,
44572.8867,0,-5558516.5,-5513943.5,-5513943.6133,0.113300000317395,-0.00000205479069543090%,,,,,,,,,
-5558516.5,1,44572.8867,-5603089.5,-5603089.3867,-0.113300000317395,0.00000202209874763615%,,,,,,,,,
44572.8867,1,-5558516.5,5603089.5,5603089.3867,0.113300000317395,0.00000202209874763615%,,,,,,,,,
-984123.5,0,16930.3633,-967193.125,-967193.1367,0.0117000000318512,-0.00000120968600664091%,,,,,,,,,
16930.3633,0,-984123.5,-967193.125,-967193.1367,0.0117000000318512,-0.00000120968600664091%,,,,,,,,,
-984123.5,1,16930.3633,-1001053.875,-1001053.8633,-0.0117000000318512,0.00000116876828118738%,,,,,,,,,
16930.3633,1,-984123.5,1001053.875,1001053.8633,0.0117000000318512,0.00000116876828118738%,,,,,,,,,
-7906082.5,0,97366.2109,-7808716,-7808716.2891,0.289099999703467,-0.00000370227306256490%,,,,,,,,,
97366.2109,0,-7906082.5,-7808716,-7808716.2891,0.289099999703467,-0.00000370227306256490%,,,,,,,,,
-7906082.5,1,97366.2109,-8003449,-8003448.7109,-0.289099999703467,0.00000361219282019935%,,,,,,,,,
97366.2109,1,-7906082.5,8003449,8003448.7109,0.289099999703467,0.00000361219282019935%,,,,,,,,,
-10175790,0,3170.9922,-10172619,-10172619.0078,0.00779999978840351,-0.00000007667641717853%,,,,,,,,,
3170.9922,0,-10175790,-10172619,-10172619.0078,0.00779999978840351,-0.00000007667641717853%,,,,,,,,,
-10175790,1,3170.9922,-10178961,-10178960.9922,-0.00779999978840351,0.00000007662864406672%,,,,,,,,,
3170.9922,1,-10175790,10178961,10178960.9922,0.00779999978840351,0.00000007662864406672%,,,,,,,,,
-7875598.5,0,8090.7744,-7867507.5,-7867507.7256,0.225599999539554,-0.00000286749002870981%,,,,,,,,,
8090.7744,0,-7875598.5,-7867507.5,-7867507.7256,0.225599999539554,-0.00000286749002870981%,,,,,,,,,
-7875598.5,1,8090.7744,-7883689,-7883689.2744,0.274400000460446,-0.00000348060395215576%,,,,,,,,,
8090.7744,1,-7875598.5,7883689,7883689.2744,-0.274400000460446,-0.00000348060395215576%,,,,,,,,,
-19925022,0,10998.9121,-19914022,-19914023.0879,1.08790000155568,-0.00000546298453483617%,,,,,,,,,
10998.9121,0,-19925022,-19914022,-19914023.0879,1.08790000155568,-0.00000546298453483617%,,,,,,,,,
-19925022,1,10998.9121,-19936022,-19936020.9121,-1.08790000155568,0.00000545695656295881%,,,,,,,,,
10998.9121,1,-19925022,19936022,19936020.9121,1.08790000155568,0.00000545695656295881%,,,,,,,,,
-11441644,0,86631.9844,-11355012,-11355012.0156,0.015599999576807,-0.00000013738426304944%,,,,,,,,,
86631.9844,0,-11441644,-11355012,-11355012.0156,0.015599999576807,-0.00000013738426304944%,,,,,,,,,
-11441644,1,86631.9844,-11528276,-11528275.9844,-0.015599999576807,0.00000013531944930809%,,,,,,,,,
86631.9844,1,-11441644,11528276,11528275.9844,0.015599999576807,0.00000013531944930809%,,,,,,,,,
-12970411,0,73510.1797,-12896901,-12896900.8203,-0.179700000211597,0.00000139335800682242%,,,,,,,,,
73510.1797,0,-12970411,-12896901,-12896900.8203,-0.179700000211597,0.00000139335800682242%,,,,,,,,,
-12970411,1,73510.1797,-13043921,-13043921.1797,0.179700000211597,-0.00000137765322049983%,,,,,,,,,
73510.1797,1,-12970411,13043921,13043921.1797,-0.179700000211597,-0.00000137765322049983%,,,,,,,,,
5539751,0,94508.2969,5634259,5634259.2969,-0.296900000423193,-0.00000526954804132904%,,,,,,,,,
94508.2969,0,5539751,5634259,5634259.2969,-0.296900000423193,-0.00000526954804132904%,,,,,,,,,
5539751,1,94508.2969,5445243,5445242.7031,0.296900000423193,0.00000545246587914560%,,,,,,,,,
94508.2969,1,5539751,-5445243,-5445242.7031,-0.296900000423193,0.00000545246587914560%,,,,,,,,,
3861370.75,0,82436.3672,3943807.25,3943807.1172,0.132799999788404,0.00000336730463336371%,,,,,,,,,
82436.3672,0,3861370.75,3943807.25,3943807.1172,0.132799999788404,0.00000336730463336371%,,,,,,,,,
3861370.75,1,82436.3672,3778934.25,3778934.3828,-0.132799999788404,-0.00000351421819846486%,,,,,,,,,
82436.3672,1,3861370.75,-3778934.25,-3778934.3828,0.132799999788404,-0.00000351421819846486%,,,,,,,,,
-17269612,0,28191.4297,-17241422,-17241420.5703,-1.42969999834895,0.00000829224014645143%,,,,,,,,,
28191.4297,0,-17269612,-17241422,-17241420.5703,-1.42969999834895,0.00000829224014645143%,,,,,,,,,
-17269612,1,28191.4297,-17297802,-17297803.4297,1.42969999834895,-0.00000826521126893016%,,,,,,,,,
28191.4297,1,-17269612,17297802,17297803.4297,-1.42969999834895,-0.00000826521126893016%,,,,,,,,,
-14330175,0,2151.1809,-14328024,-14328023.8191,-0.180900000035763,0.00000126256071541851%,,,,,,,,,
2151.1809,0,-14330175,-14328024,-14328023.8191,-0.180900000035763,0.00000126256071541851%,,,,,,,,,
-14330175,1,2151.1809,-14332326,-14332326.1809,0.180900000035763,-0.00000126218171253205%,,,,,,,,,
2151.1809,1,-14330175,14332326,14332326.1809,-0.180900000035763,-0.00000126218171253205%,,,,,,,,,
-127944.8906,0,40796.3633,-87148.5234,-87148.5273,0.00389999999606516,-0.00000447511864731782%,,,,,,,,,
40796.3633,0,-127944.8906,-87148.5234,-87148.5273,0.00389999999606516,-0.00000447511864731782%,,,,,,,,,
-127944.8906,1,40796.3633,-168741.25,-168741.2539,0.00390000001061708,-0.00000231123090559011%,,,,,,,,,
40796.3633,1,-127944.8906,168741.25,168741.2539,-0.00390000001061708,-0.00000231123090559011%,,,,,,,,,
-10183646,0,12074.7266,-10171572,-10171571.2734,-0.726600000634789,0.00000714343911186017%,,,,,,,,,
